epoch,train_loss,train_acc,val_loss,val_acc,val_macro_f1,lr,epoch_time_sec
1,0.9494788167035139,0.5937777777777777,0.43381010174751283,0.8573333333333333,0.8567743283060703,0.0005,33.5374921875
2,0.41268489136960773,0.8541851851851852,0.329825736284256,0.8895833333333333,0.8899413752150257,0.001,33.43141015625
3,0.29135296510767056,0.8993055555555556,0.28564633218447366,0.90675,0.9065140025182646,0.0009924038648605347,33.25342578125
4,0.21607833757223907,0.9250555555555555,0.2644076088269552,0.9144166666666667,0.9139090785139907,0.0009698463082313538,33.19702734375
5,0.1623833669203299,0.9434444444444444,0.2677268094221751,0.9179166666666667,0.9178715476114984,0.0009330127239227295,33.25276953125
6,0.12140502013100518,0.9577314814814815,0.29950870299339294,0.9129166666666667,0.9131985592943196,0.0008830221891403199,33.19819140625
7,0.09034664399535568,0.968037037037037,0.32489142680168154,0.9160833333333334,0.9160766698197313,0.0008213938474655152,33.2186171875
8,0.0665963993464355,0.9767962962962963,0.3483624152342478,0.9135,0.9133648637803953,0.00075,33.1458203125
9,0.0494189753766965,0.983212962962963,0.37982717537879945,0.9133333333333333,0.9131065945314415,0.0006710100769996643,33.1776015625
10,0.03761613304388744,0.9867777777777778,0.4163416052659353,0.9103333333333333,0.9105105685768068,0.0005868241190910339,33.2369453125
