label,class,precision,recall,f1-score,support
0,World,0.9602332979851538,0.9531578947368421,0.9566825145272055,1900.0
1,Sports,0.9878755930416447,0.9863157894736843,0.9870950750592573,1900.0
2,Business,0.9252136752136753,0.911578947368421,0.9183457051961824,1900.0
3,Sci/Tech,0.913624678663239,0.9352631578947368,0.9243172951885565,1900.0
