epoch,train_loss,train_acc,val_loss,val_acc,val_macro_f1,lr,epoch_time_sec
1,0.4593802910999015,0.8329074074074074,0.2988029897212982,0.8950833333333333,0.8954717767885625,0.001,48.0400703125
2,0.23391299585501352,0.9189351851851851,0.23727534965674082,0.9186666666666666,0.9184108901221618,0.001,48.27881640625
3,0.1717058705488841,0.9404074074074074,0.23640233604113262,0.9183333333333333,0.9180595223367923,0.001,48.58800390625
4,0.12675841897284543,0.9559074074074074,0.24601288414001465,0.9175,0.9174149219014927,0.001,48.6908828125
5,0.08947750091773492,0.9687962962962963,0.272182809193929,0.9184166666666667,0.9182564280977978,0.001,48.09639453125
6,0.06431903931332959,0.9773611111111111,0.3082037327289581,0.9203333333333333,0.9201971308957273,0.001,48.2582890625
7,0.04619188176564596,0.9838518518518519,0.3418125662008921,0.9173333333333333,0.9170251021515098,0.001,48.59073046875
8,0.03556354909390211,0.9876574074074074,0.3790406161149343,0.9174166666666667,0.9173041900215588,0.001,48.50762890625
9,0.02979715905973205,0.9901574074074074,0.4137478484312693,0.9145833333333333,0.9142484584678544,0.001,48.61525390625
10,0.02311796089882652,0.9926296296296296,0.4429290215174357,0.916,0.9158457924952578,0.001,48.27383984375
11,0.021461236110026087,0.9930925925925926,0.448701233625412,0.917,0.9168256567284272,0.001,48.1899921875
