epoch,train_loss,train_acc,val_loss,val_acc,val_macro_f1,lr,epoch_time_sec
1,0.6690556598592687,0.7386111111111111,0.3833856508731842,0.868,0.8673428989842918,0.001,17.273078125
2,0.35660251923843667,0.8793796296296297,0.3105166827837626,0.8941666666666667,0.8934025080044274,0.001,18.898921875
3,0.2877001076715964,0.9047962962962963,0.2710688900947571,0.9106666666666666,0.9108717529337562,0.001,19.374033203125
4,0.2514197700023651,0.9180092592592592,0.2547374703089396,0.9155833333333333,0.915563340217072,0.001,18.658982421875
5,0.22900530721523144,0.924712962962963,0.24687426010767619,0.9190833333333334,0.9189809444664205,0.001,19.62562890625
6,0.2132347381512324,0.9291666666666667,0.24787460060914357,0.9175833333333333,0.9173784226836923,0.001,18.78959765625
