id,model,setting,train_acc,history_train_acc,val_acc,test_acc,train_val_gap,final_loss,elapsed_seconds
A2-AB-CNN-001,three_layer_convnet,"kind=solver, model=three_layer_convnet, learning_rate=0.001, reg=0.0, num_filters=8, filter_size=3, hidden_dim=100, batch_size=100, epochs=10, update_rule=adam, weight_scale=0.01",0.7702244897959184,0.7702244897959184,0.614,0.6091,0.1562244897959184,0.5817097387337647,740.5117726325989
A2-AB-CNN-002,three_layer_convnet,"kind=solver, model=three_layer_convnet, learning_rate=0.001, reg=0.001, num_filters=8, filter_size=3, hidden_dim=100, batch_size=100, epochs=10, update_rule=adam, weight_scale=0.01",0.7572448979591837,0.7572448979591837,0.614,0.6006,0.14324489795918371,0.6418395031091941,769.6672286987305
A2-AB-CNN-003,three_layer_convnet,"kind=solver, model=three_layer_convnet, learning_rate=0.001, reg=0.01, num_filters=8, filter_size=3, hidden_dim=100, batch_size=100, epochs=10, update_rule=adam, weight_scale=0.01",0.7011836734693877,0.7011836734693877,0.61,0.6157,0.09118367346938772,0.8653426752580917,765.2187962532043
