id,model,setting,train_acc,history_train_acc,val_acc,test_acc,train_val_gap,final_loss,elapsed_seconds
A2-HP-LR-001,three_layer_convnet,"kind=solver, model=three_layer_convnet, learning_rate=0.002, reg=0.001, num_filters=8, filter_size=3, hidden_dim=100, batch_size=100, epochs=10, update_rule=adam, weight_scale=0.01",0.6593469387755102,0.6832448979591836,0.574,0.5768,0.08534693877551025,0.8035831836947422,762.1507034301758
A2-HP-LR-002,three_layer_convnet,"kind=solver, model=three_layer_convnet, learning_rate=0.001, reg=0.001, num_filters=8, filter_size=3, hidden_dim=100, batch_size=100, epochs=10, update_rule=adam, weight_scale=0.01",0.7572448979591837,0.7572448979591837,0.614,0.6006,0.14324489795918371,0.6418395031091941,776.2265427112579
A2-HP-LR-003,three_layer_convnet,"kind=solver, model=three_layer_convnet, learning_rate=0.0005, reg=0.001, num_filters=8, filter_size=3, hidden_dim=100, batch_size=100, epochs=10, update_rule=adam, weight_scale=0.01",0.779469387755102,0.7716938775510204,0.602,0.611,0.17746938775510201,0.49264503058926074,771.4513139724731
