epoch,train_loss,train_acc,val_loss,val_acc,val_macro_f1,lr,epoch_time_sec
1,0.5541112866136763,0.7932592592592592,0.3420308522383372,0.8806666666666667,0.87989496168557,0.001,16.2697294921875
2,0.2920558568989789,0.8994629629629629,0.27538400228818255,0.9070833333333334,0.9066586861249647,0.001,16.110998046875
3,0.21855578420780322,0.9240648148148148,0.2743266630967458,0.913,0.9129316722711396,0.001,16.17301171875
4,0.16558840829796262,0.9427685185185185,0.26830302890141805,0.9146666666666666,0.914811654585232,0.001,16.10357421875
5,0.12631893783586998,0.9546574074074075,0.2932592442035675,0.9098333333333334,0.9101640975978155,0.001,16.1194970703125
6,0.09579799655410978,0.9663240740740741,0.3093879373073578,0.91175,0.9117033773747073,0.001,16.030439453125
7,0.07389992132231041,0.9738055555555556,0.3376232304573059,0.91175,0.9119521855049586,0.001,16.0186162109375
8,0.05697948151330153,0.9805925925925926,0.37140098655223847,0.9118333333333334,0.9118111968875371,0.001,16.10194140625
9,0.04828238543205791,0.983574074074074,0.3942102459271749,0.9135,0.9133225317919254,0.001,16.1060986328125
