epoch,train_loss,train_acc,val_loss,val_acc,val_macro_f1,lr,epoch_time_sec
1,0.7167191825796057,0.7202962962962963,0.3984684769312541,0.86525,0.8646077478063463,0.001,10.14427734375
2,0.38628240609169007,0.8684074074074074,0.3195386510690053,0.893,0.8927018790954597,0.001,10.1883583984375
3,0.3022640297589479,0.8986759259259259,0.2709411516586939,0.909,0.9088174690911422,0.001,10.3417158203125
4,0.25861557926072015,0.9131759259259259,0.25380213991800943,0.915,0.9149161250634537,0.001,10.3100888671875
5,0.23541711568390883,0.9213981481481481,0.2413216913541158,0.9189166666666667,0.918767504314465,0.001,10.261150390625
6,0.21811338814982661,0.9262037037037038,0.23646670854091645,0.9191666666666667,0.9189525680953423,0.001,10.33153515625
