epoch,train_loss,train_acc,val_loss,val_acc,val_macro_f1,lr,epoch_time_sec
1,0.6818996079232957,0.7763425925925926,0.35212053966522217,0.89,0.8897241746860468,0.001,10.0000302734375
2,0.31131292780240377,0.8997685185185185,0.2862279930114746,0.9085,0.9083161857680555,0.001,8.965490234375
3,0.2541777240479434,0.9166388888888889,0.265334925254186,0.9125,0.9123452339114174,0.001,9.788875
4,0.22039586439839115,0.9275555555555556,0.2547730356057485,0.9150833333333334,0.9149695746647447,0.001,9.7832822265625
5,0.19766556011305916,0.9353703703703704,0.24977644272645314,0.9188333333333333,0.918743622814532,0.001,9.1399443359375
6,0.18035150652461582,0.9400462962962963,0.2481562571922938,0.9183333333333333,0.9182098330326824,0.001,8.6674091796875
7,0.1652091537758156,0.9448425925925926,0.24973440198103586,0.918,0.9179261449117331,0.001,8.916109375
8,0.15136693035673213,0.9491111111111111,0.25244658120473223,0.9190833333333334,0.9189756544080901,0.001,9.7026533203125
9,0.14191607987880706,0.9516296296296296,0.2571984788974126,0.9184166666666667,0.9183121401405969,0.001,8.5000478515625
10,0.13131103695542723,0.9550462962962963,0.2630002205371857,0.9179166666666667,0.9177915819821449,0.001,8.9015048828125
11,0.12344184810585446,0.9576944444444444,0.2682369151910146,0.9171666666666667,0.9171242767366287,0.001,9.3109453125
12,0.1153090517366374,0.9605092592592592,0.27577689146995543,0.917,0.9169023417688048,0.001,8.925037109375
13,0.10916267447559921,0.9625,0.2831774036884308,0.9165,0.9164017713422966,0.001,10.0536640625
