epoch,train_loss,train_acc,val_loss,val_acc,val_macro_f1,lr,epoch_time_sec
1,0.9822486335789716,0.5900740740740741,0.5831311602592468,0.83725,0.836541720648248,0.00025,67.415453125
2,0.5315737540103771,0.8589444444444444,0.4957245136896769,0.8749166666666667,0.8738655071976159,0.0005,67.5522890625
3,0.44760452810923257,0.8952314814814815,0.4502839968999227,0.8928333333333334,0.8930447858146766,0.0004962019324302674,66.9629609375
4,0.3964664193524255,0.9176574074074074,0.430437019666036,0.9044166666666666,0.90394745065833,0.0004849231541156769,66.8595546875
5,0.3614976168032046,0.9330277777777778,0.427626429716746,0.9051666666666667,0.9050302252474632,0.00046650636196136474,66.72759375
6,0.33457197438346015,0.9449722222222222,0.41753411587079364,0.9130833333333334,0.9130384332013235,0.0004415110945701599,66.7195
7,0.3121322439423314,0.9551388888888889,0.42390445454915365,0.9146666666666666,0.9145614998473027,0.0004106969237327576,67.128765625
8,0.29343519910176596,0.9637592592592592,0.4291638848781586,0.9148333333333334,0.9148400694019863,0.000375,66.6774296875
9,0.2774018119706048,0.9707129629629629,0.44366730976104735,0.91075,0.9107827437475711,0.00033550503849983217,66.619828125
10,0.2654976401505647,0.9756851851851852,0.443701238711675,0.9140833333333334,0.913896982510498,0.00029341205954551696,66.601125
11,0.2551421057736432,0.9801851851851852,0.4469393937587738,0.9146666666666666,0.9145419666928107,0.0002499999850988388,66.5917578125
12,0.24702298696835837,0.9834722222222222,0.46339539670944213,0.91475,0.9146829510999683,0.00020658795535564422,66.59065625
13,0.23912884921497768,0.9872037037037037,0.466715748945872,0.91425,0.914100097513173,0.00016449496150016784,66.5692265625
