epoch,optimization_loss,train_loss,train_accuracy,validation_loss,validation_accuracy,epoch_seconds
1,1.9154245917845103,1.7778432343377006,0.3649777777777778,1.783926431274414,0.3582,16.35439250001218
2,1.765164915488329,1.7171209880616929,0.3906,1.7355256746292114,0.3882,18.795069500003592
3,1.706113432311846,1.644361753824022,0.4167111111111111,1.6691010162353515,0.4052,48.685473899997305
4,1.6793555829957127,1.637768601820204,0.41644444444444445,1.6635607206344605,0.4084,70.7572771999985
5,1.6446934410951204,1.6621086762110393,0.4089333333333333,1.694184568786621,0.3926,84.63148720000754
6,1.6225789223435851,1.5816134109708997,0.4374222222222222,1.6147339958190918,0.4272,96.74499200000719
7,1.6070414094146754,1.5692065018547905,0.44495555555555555,1.6050252794265747,0.4404,114.28617520000262
8,1.5842984504707986,1.5560298053105672,0.44326666666666664,1.5992412492752075,0.4248,125.87289779999992
9,1.5709533113340537,1.556435345056322,0.44308888888888887,1.611154542541504,0.4284,149.86923199999728
10,1.561211167320609,1.5480025183995565,0.4513111111111111,1.6042582654953004,0.434,96.41935110000486
11,1.552075038809081,1.5488018006218804,0.446,1.6154408674240113,0.423,67.46014429999923
12,1.5475668519318104,1.552451275147332,0.44051111111111113,1.611848645210266,0.4164,83.8619478999899
13,1.534502915843659,1.5324784151713053,0.4512,1.598223110961914,0.4344,88.61791999998968
14,1.5353974287291368,1.490474341922336,0.46897777777777777,1.5561254878997803,0.4518,92.3141103000089
15,1.526942366553015,1.5287889548831515,0.45168888888888886,1.6006125286102295,0.4274,95.85450679999485
16,1.520545045564572,1.5226882664998371,0.4530666666666667,1.6046019144058228,0.4224,98.9132341999939
17,1.511394521210591,1.4541598410076566,0.48386666666666667,1.5370007280349731,0.4544,102.52689929999178
18,1.507794454562664,1.4643835654152764,0.47875555555555555,1.548222010421753,0.4562,103.7785501999897
19,1.5079366632170148,1.5029771496242947,0.46073333333333333,1.594946445465088,0.4282,104.89507150001009
20,1.5014287102146282,1.459190458615621,0.48133333333333334,1.5490674087524414,0.4516,104.99222259999078
21,1.4975253786596987,1.464933525911967,0.4792222222222222,1.5553855581283569,0.4484,104.70489190000808
22,1.4959676023234925,1.4518693458345202,0.48306666666666664,1.5409351108551026,0.4498,103.3190356999985
23,1.4947902566989264,1.4656060274759928,0.48035555555555554,1.5659205291748046,0.4408,105.0833391000051
24,1.4913985475139486,1.4426892738978068,0.4875555555555556,1.5374451267242433,0.456,106.06611159999738
25,1.485024721053905,1.4626077261606851,0.48804444444444445,1.5627665311813355,0.4648,103.22318809998978
26,1.484559064595898,1.4461729062610202,0.48833333333333334,1.5464718955993653,0.4638,103.69626569999673
27,1.4902381023244726,1.4657586908340454,0.48286666666666667,1.5665402362823486,0.457,106.37138119999145
28,1.4793043279253775,1.4447480025609334,0.4822222222222222,1.5535843788146972,0.4518,107.53360910000629
29,1.4770002446803783,1.4250934378517999,0.48833333333333334,1.5342399917602538,0.4572,107.15478500000609
30,1.4765157836463716,1.4462410079744128,0.4808222222222222,1.5607640127182008,0.447,107.10204679999151
31,1.4749321531726254,1.438748804283142,0.48573333333333335,1.5543785665512084,0.4474,107.27950039999268
32,1.4691424492004845,1.543305428928799,0.4575777777777778,1.6663449346542358,0.4288,106.14106989999709
33,1.471832464030385,1.4565269982443916,0.478,1.5583490242004394,0.457,105.50265179999406
34,1.472486832496524,1.412289080895318,0.4955777777777778,1.5291668478012086,0.4518,105.58416359999683
35,1.4637525960256657,1.4600975235621134,0.47686666666666666,1.5778815645217896,0.4386,105.08427320000192
36,1.4676188835442066,1.432490320417616,0.48886666666666667,1.5596518188476562,0.4546,106.2099492999987
37,1.4602222608486812,1.4441644595675998,0.4834888888888889,1.5671203838348389,0.4468,104.95344959999784
38,1.4672047846012646,1.4065310148874919,0.501,1.5322835216522217,0.4584,109.16399939999974
39,1.4645614905569289,1.418438051117791,0.49277777777777776,1.539794638633728,0.4556,107.27511260000756
40,1.460228374420272,1.4777028851403131,0.47215555555555555,1.5966547969818115,0.4298,106.46555150000495
