epoch,train_loss,train_acc,val_loss,val_acc,val_macro_f1,lr,epoch_time_sec
1,0.5510342198566154,0.7951851851851852,0.31180399775505063,0.895,0.8944287103547512,0.003,11.86509375
2,0.3054985274915342,0.8977314814814815,0.27547844481468203,0.9073333333333333,0.9069120549351671,0.003,11.490125
3,0.2744452549793102,0.90775,0.2629535881280899,0.9104166666666667,0.9103078832341464,0.003,11.5475146484375
4,0.25719916454067937,0.9139814814814815,0.2487258052031199,0.9166666666666666,0.9165466408816463,0.003,11.9019716796875
5,0.24232249092172695,0.9181851851851852,0.24457844690481823,0.9176666666666666,0.9175876661659048,0.003,11.9938662109375
6,0.2312436193978345,0.9215925925925926,0.24646191012859345,0.9150833333333334,0.9146596144086825,0.003,11.7414775390625
