epoch,train_loss,train_acc,val_loss,val_acc,val_macro_f1,lr,epoch_time_sec
1,0.6788040480790315,0.7371481481481481,0.34059173496564227,0.8859166666666667,0.8854608739554244,0.001,10.4517421875
2,0.35211768973315205,0.8795,0.28758313409487407,0.9028333333333334,0.9027705937223948,0.001,10.4369501953125
3,0.26844568601802543,0.9086388888888889,0.26949463510513305,0.9094166666666667,0.9095846156625714,0.001,10.54657421875
4,0.21409044536837826,0.9265648148148148,0.2606137362321218,0.91275,0.9127113659790864,0.001,10.4188037109375
5,0.1778652751048406,0.9397314814814814,0.2688085387547811,0.9115833333333333,0.9116619493669287,0.001,10.294890625
6,0.14839176805372592,0.948962962962963,0.28011923042933146,0.9144166666666667,0.9143933060419802,0.001,10.525228515625
7,0.12435465321938197,0.9572592592592593,0.29596393632888796,0.9125,0.9125115548123401,0.001,10.3786904296875
8,0.1019051382166368,0.9645833333333333,0.3231523900826772,0.913,0.9130839450722626,0.001,10.4043505859375
9,0.0875995988006945,0.9697870370370371,0.3548596061865489,0.9081666666666667,0.9082205339626588,0.001,10.5712548828125
10,0.07540747435639301,0.9742685185185185,0.38670023743311566,0.9076666666666666,0.9076915140910633,0.001,10.637498046875
11,0.06586615882206846,0.9771666666666666,0.41022972226142884,0.90875,0.9087414749381904,0.001,10.6262255859375
