epoch,optimization_loss,train_loss,train_accuracy,validation_loss,validation_accuracy,epoch_seconds
1,1.901660724600653,1.7650623218324448,0.37655555555555553,1.7715284446716308,0.372,15.872417899998254
2,1.7422381705651682,1.6745565005196466,0.4074,1.691657424736023,0.401,17.13546769999084
3,1.6734977896074454,1.6321080303615993,0.42564444444444444,1.6559662935256958,0.42,31.98503690000507
4,1.627765308952166,1.5730868791368273,0.44726666666666665,1.60094591255188,0.4342,43.61956809999538
5,1.5885933899025122,1.591555618349711,0.4338,1.6257747310638428,0.4256,52.635416899996926
6,1.5664049042282833,1.538767394150628,0.45842222222222223,1.5809012069702149,0.4466,61.020168200004264
7,1.5431552858519886,1.529967859141032,0.4604,1.5815643175125123,0.4464,72.97970159999386
8,1.5250228535079293,1.499047449514601,0.46926666666666667,1.555022477722168,0.4438,91.2234485999943
9,1.5056236902256808,1.509840074857076,0.4656222222222222,1.578445119857788,0.4524,103.9237548999954
10,1.4892736969441176,1.470466432931688,0.4812666666666667,1.5396846212387085,0.4598,114.53266890000668
11,1.4781832310113643,1.467018370352851,0.4825333333333333,1.5467550172805786,0.4602,133.87551430000167
12,1.4679257524667515,1.4749812409506904,0.47186666666666666,1.5530366357803345,0.4462,149.21265159999894
13,1.4535556359564266,1.4313680219014486,0.48935555555555554,1.5165100265502929,0.4636,160.57185500000196
14,1.448342874072161,1.4313044247521294,0.4874222222222222,1.523245552444458,0.4606,169.8977523999929
15,1.4374111079932914,1.3991388169182672,0.507,1.4865590604782104,0.4794,173.1687241999898
16,1.431255874947707,1.4022886290656196,0.5097555555555555,1.5013276397705078,0.4774,186.40673820000666
17,1.4170063417689667,1.3804240283542208,0.5158666666666667,1.486210948562622,0.4782,186.63588329999766
18,1.4109238909727997,1.379787983194987,0.5137111111111111,1.4937559717178344,0.4822,179.19718630000716
19,1.4023638275775645,1.3849614693747627,0.5077111111111111,1.5072178468704223,0.4718,183.83595549999154
20,1.3985074872030152,1.3592011161592272,0.5221777777777777,1.4738806909561157,0.4806,184.88348200000473
21,1.3900898089819484,1.3693835166083441,0.5162666666666667,1.4954847492218017,0.468,192.31683820000035
22,1.3886859608034292,1.348922857814365,0.5249333333333334,1.4783255224227905,0.4834,187.27359979999892
23,1.3827441437996095,1.335149536005656,0.5301777777777777,1.4625989152908325,0.49,187.03688230000262
24,1.379151749744018,1.3457904451794094,0.5285777777777778,1.477124977874756,0.4852,191.8484798999998
25,1.367970725927088,1.333730175505744,0.5315777777777778,1.470849644088745,0.4868,192.09226809999382
26,1.3674110304703315,1.371113406054179,0.5162444444444444,1.5101005281448365,0.4736,190.0279329000041
27,1.3659373088323408,1.3161099816216364,0.5346222222222222,1.4588945167541505,0.4922,189.5350727000041
28,1.353679246791535,1.3085879568099976,0.5346222222222222,1.4565601196289062,0.4912,225.35245120000036
29,1.348971787637141,1.341270456314087,0.5212444444444444,1.4875724365234375,0.4824,250.07636740000453
30,1.3520473049034676,1.3040434025234646,0.5379555555555555,1.4632244497299194,0.489,253.60936430000584
31,1.3445375508278608,1.301729785601298,0.5414222222222222,1.4600275873184203,0.4906,251.1738284000021
32,1.3388174045691887,1.4469170455296834,0.49724444444444443,1.6009112503051757,0.4574,251.9317738999962
33,1.337067759394977,1.3007333241356744,0.5392222222222223,1.459638268470764,0.4936,249.66129630000796
34,1.328467678784993,1.27660109600491,0.5486666666666666,1.4516533779144287,0.498,250.71772900001088
35,1.327005272883839,1.294827377128601,0.5386444444444445,1.471532741355896,0.4844,250.27141200000187
36,1.3254096757150358,1.3035188692940607,0.5400222222222222,1.4829124151229858,0.4846,248.62516830000095
37,1.321393459138274,1.28174914449056,0.5465555555555556,1.4617439163208008,0.4884,270.99036769999657
38,1.3204598807351458,1.2556468097050986,0.5548444444444445,1.4433328824996947,0.4952,272.6659316000005
39,1.3188755375067394,1.2638125975290935,0.5523555555555556,1.4515191762924193,0.4904,260.657237300009
40,1.3145156408187415,1.3033645767635769,0.5349555555555555,1.4766887468338012,0.4834,243.39592480000283
