epoch,train_loss,train_acc,val_loss,val_acc,val_macro_f1,lr,epoch_time_sec
1,1.0560970678859287,0.5733703703703704,0.6018614293734232,0.8425833333333334,0.8419194024510661,0.0005,13.257109375
2,0.5638842613432142,0.8522685185185185,0.4690515294075012,0.8970833333333333,0.8967139324627926,0.001,12.0913701171875
3,0.4609455121711448,0.9006759259259259,0.43913419858614605,0.9123333333333333,0.9121486381712726,0.0009924038648605347,12.9195751953125
4,0.39927300732224075,0.9292962962962963,0.42587149079640707,0.9149166666666667,0.9150681923136109,0.0009698463082313538,11.914275390625
5,0.3612905230522156,0.9461851851851852,0.4165255415439606,0.91925,0.9191017728158326,0.0009330127239227295,13.056494140625
6,0.33196638485237406,0.9595092592592592,0.41608728424708047,0.9204166666666667,0.9203431089721223,0.0008830221891403199,13.153943359375
7,0.3087830369030988,0.9710092592592593,0.4160438446998596,0.9205,0.9203842944473719,0.0008213938474655152,13.5860322265625
8,0.288792276541392,0.981287037037037,0.42116212368011474,0.9219166666666667,0.921727336579629,0.00075,12.6259580078125
9,0.2764303602995696,0.9867777777777778,0.42395888686180117,0.91775,0.9175367091570955,0.0006710100769996643,12.26399609375
10,0.26628245095853453,0.9909907407407408,0.4227948789596558,0.9193333333333333,0.9191200864784447,0.0005868241190910339,11.9836416015625
11,0.2581526710545575,0.9939444444444444,0.4232089468638102,0.9196666666666666,0.9195562149270043,0.0004999999701976776,12.186037109375
12,0.25234127872078504,0.9954166666666666,0.4224508967399597,0.9203333333333333,0.920168522575483,0.00041317591071128845,12.872658203125
13,0.24717894028734277,0.9966481481481482,0.419706423441569,0.9195,0.9193979735115363,0.0003289899230003357,12.24459375
