epoch,train_loss,train_acc,val_loss,val_acc,val_macro_f1,lr,epoch_time_sec
1,1.009474532727842,0.5740185185185185,0.4862025820414225,0.8399166666666666,0.8392993025658444,0.0005,11.6099521484375
2,0.42006854172106145,0.8525277777777778,0.3049728854497274,0.895,0.8945823306023841,0.001,11.4149990234375
3,0.2892740706072913,0.8993148148148148,0.2769491399129232,0.9091666666666667,0.9089945081956577,0.0009924038648605347,11.4305439453125
4,0.21048660472145786,0.9276574074074074,0.26370763846238454,0.9129166666666667,0.9129963966865768,0.0009698463082313538,12.4564833984375
5,0.15975214434994592,0.944,0.26271919123331705,0.91375,0.9139026579848817,0.0009330127239227295,11.26351171875
6,0.11929551051722632,0.9581574074074074,0.2788761012554169,0.9159166666666667,0.9156936764971624,0.0008830221891403199,11.625912109375
7,0.0896665744472433,0.9683333333333334,0.30886689949035645,0.9090833333333334,0.9091813467315596,0.0008213938474655152,12.4274501953125
8,0.06436900383344403,0.977287037037037,0.33261120573679603,0.9155833333333333,0.9154978232031512,0.00075,11.581130859375
9,0.04818484311854398,0.9835185185185186,0.35922864866256715,0.91475,0.9145859145551957,0.0006710100769996643,11.9765166015625
10,0.03787615520479502,0.9873333333333333,0.3768017977078756,0.9140833333333334,0.9140252842376966,0.0005868241190910339,11.4987685546875
11,0.028399171666690596,0.9909722222222223,0.39400154598553977,0.91375,0.9137898758599334,0.0004999999701976776,12.162771484375
